| # | word | type | pronunciation | meaning | difficulty |
|1| agenda | n. | //əˈdʒen.də// | a list of matters to be discussed at a meeting. | fácil |
|2| anniversary | n. | //ˌæn.əˈvɝː.sɚ.i// | the day on which an important event happened in a previous year. | difícil |
|3| airplane | n. | //ˈer.pleɪn// | a vehicle designed for air travel that has wings and one or more engines. | fácil |
|4| adventure | n. | //ədˈven.tʃɚ// | an unusual, exciting, and possibly dangerous activity, such as a trip or experience, or the excitement produced by such an activity. | medio |
|5| antenna | n. | //ænˈten.ə// | either of a pair of long, thin organs that are found on the heads of insects and crustaceans. | medio |
|6| article | n. | //ˈɑːr.tɪ̬.kəl// | a piece of writing on a particular subject in a newspaper or magazine, or on the internet. | medio |
|7| assistance | n. | //əˈsɪs.təns// | a person who help another person. | difícil |
|8| avocado | n. | //ˌɑː.vəˈkɑː.doʊ// | a tropical fruit with thick, dark green or purple skin, a large, round seed, and soft, pale green flesh that can be eaten. | fácil |
|9| ancestor | n. | //ˈæn.ses.tɚ// | a person related to you who lived a long time ago. | medio |
|10| always | adv. | //ˈɑːl.weɪz// | every time or all the time, | fácil |
|11| August | n. | //ˈɑː.ɡəst// | the eighth month of the year, after July and before September. | fácil |
|12| Azkaban | n. | //əˈzkəban// | high security magical prison | medio |
|13| ability | n. | //əˈbɪl.ə.ti̬// | the physical or mental power or skill needed to do something. | medio |
|14| answer | n. | //ˈæn.sɚ// | a reaction to a question, letter, phone call, etc. | medio |
|15| admire | v. | //ədˈmaɪr// | to find someone or something attractive and pleasant to look at. | medio |
|16| butterfly | n. | //ˈbʌt.̬ɚ.flaɪ// | a type of insect with large, often brightly coloured wings. | medio |
|17| basket | n. | //ˈbæs.kət// | a light container, often with a handle, that is made of thin strips of wood, metal, or plastic twisted together, used for carrying or storing things. | fácil |
|18| beautiful | adj. | //ˈbjuː.tə̬.fəl// | having an attractive quality that gives pleasure to those who experience it or think about it. | difícil |
|19| branch | n. | //bræntʃ// | one of the parts of a tree that grows out from the main trunk and has leaves, flowers, or fruit on it. | fácil |
|20| balance | n. | //ˈbæl.əns// | the ability to remain standing, especially because your weight is equally distributed (= spread). | fácil |
|21| button | n. | //ˈbʌt.ən// | a small, usually circular object used to fasten something, for example a shirt or coat. | fácil |
|22| bright | adj. | //braɪt// | full of light, shining. | difícil |
|23| brain | n. | //breɪn// | the organ inside the head that controls thought, memory, feelings, and activity. | fácil |
|24| behavior | n. | //bɪˈheɪ.vjɚ// | the way that someone behaves. | medio |
|25| believe | v. | //bɪˈliːv// | to think that something is true, correct, or real. | difícil |
|26| bottle | n. | //ˈbɑː.t̬əl// | a container for liquids, usually made of glass or plastic, with a narrow neck. | fácil |
|27| bring | v. | //brɪŋ// | to take or carry someone or something to a place or a person, or in the direction of the person speaking. | fácil |
|28| before | p.adv.conj | //bɪˈfɔːr// | at or during a time earlier than (the thing mentioned). | fácil |
|29| balloon | n. | //bəˈluːn// | a small, thin rubber bag that you blow air into or fill with a light gas until it is round in shape. | medio |
|30| brave | adj. | //breɪv// | showing no fear of dangerous or difficult things. | fácil |
|31| best | adj. | //best// | of the highest quality, or being the most suitable, pleasing, or effective type of thing or person. | fácil |
|32| balcony | n. | //ˈbæl.kə.ni// | an area with a wall or bars around it that is joined to the outside wall of a building on an upper level. | medio |
|33| century | n. | //ˈsen.tʃər.i// | a period of 100 years counted from what is believed to be the year of the birth of Jesus Christ. | medio |
|34| command | n. | //kəˈmænd// | control over someone or something and responsibility for him, her, or it. | medio |
|35| condition | n. | //kənˈdɪʃ.ən// | the particular state that something or someone is in. | difícil |
|36| conference | n. | //ˈkɑːn.fɚ.əns// | an event, sometimes lasting a few days, at which there is a group of talks on a particular subject, or a meeting. | difícil |
|37| center | n. | //ˈsen.tɚ̬// | to put in a middle position. | fácil |
|38| cabbage | n. | //ˈkæb.ɪdʒ// | a large, round vegetable with large green, white, or purple leaves that can be eaten cooked or uncooked. | medio |
|39| champion | n. | //ˈtʃæm.pi.ən// | someone or something, especially a person or animal, that has beaten all other competitors in a competition. | medio |
|40| classroom | n. | //ˈklæs.ruːm// | a room in a school or college where groups of students are taught. | fácil |
|41| character | n. | //ˈker.ək.tɚ// | the particular combination of qualities in a person or place that makes them different from others. | difícil |
|42| collect | n. | //kəˈlekt// | to get and keep things of one type such as stamps or coins as a hobby. | fácil |
|43| capture | n. | //ˈkæp.tʃɚ// | to take someone as your possession, especially by force. | medio |
|44| collecting | n. | //kəˈlekt// | to get and keep things of one type such as stamps or coins as a hobby. | medio |
|45| connected | adj. | //kəˈnek.tɪd// | joined together. | medio |
|46| community | n. | //kəˈmjuː.nə.ti̬// | the people living in one particular area or people who are considered as a unit because of their common interests, social group, or nationality. | difícil |
|47| container | n. | //kənˈteɪ.nɚ// | a hollow object, such as a box or a bottle, that can be used for holding something, especially to carry or store it. | medio |
|48| crossword | n. | //ˈkrɑːs.wɝːd// | a game in which you write words that are the answers to questions in a pattern of black and white squares. | medio |
|49| continue | n. | //kənˈtɪn.juː// | to keep happening, existing, or doing something, or to cause something or someone to do this. | medio |
|50| challenge | n. | //ˈtʃæl.ɪndʒ// | something that needs great mental or physical effort. | medio |
